event_date,industry,industry_label,ticker,factor_sentiment,weight_sum,n_posts,factor_sentiment_lex,iwks,iwks_lex
2026-04-18,ai_tech,AI / 大模型,QQQ,0.15686399999999998,0.96,2,0.0,0.1634,0.0
2026-04-19,ai_tech,AI / 大模型,QQQ,0.42235200000000006,0.96,2,0.0,0.43995000000000006,0.0
2026-04-20,crypto,加密,BTC-USD,-2.036685,8.33,1,-3.3320000000000003,-0.24449999999999997,-0.4
2026-04-21,ai_tech,AI / 大模型,QQQ,-0.116592,0.48,1,0.0,-0.2429,0.0
2026-04-23,ai_tech,AI / 大模型,QQQ,0.384672,0.48,1,0.0,0.8014000000000001,0.0
2026-04-23,crypto,加密,BTC-USD,-0.6355790000000001,8.33,1,0.0,-0.0763,0.0
2026-04-24,crypto,加密,BTC-USD,-1.484406,8.33,1,0.0,-0.1782,0.0
2026-04-25,ai_tech,AI / 大模型,QQQ,0.11558399999999999,0.48,1,0.0,0.2408,0.0
2026-04-28,ai_tech,AI / 大模型,QQQ,0.180576,1.44,3,0.0,0.12539999999999998,0.0
2026-04-29,ai_tech,AI / 大模型,QQQ,-0.39992399999999995,0.78,2,0.0,-0.5127230769230768,0.0
2026-05-01,ai_tech,AI / 大模型,QQQ,0.30345,0.6,2,0.0,0.50575,0.0
2026-05-01,crypto,加密,BTC-USD,-1.020425,8.33,1,0.0,-0.12249999999999998,0.0
2026-05-01,crypto,加密,QQQ,-1.162868,8.33,1,0.0,-0.1396,0.0
2026-05-03,ai_tech,AI / 大模型,QQQ,-0.11145000000000001,0.6,2,0.0,-0.18575000000000003,0.0
2026-05-03,crypto,加密,BTC-USD,-2.080001,8.33,1,0.0,-0.24970000000000003,0.0
2026-05-03,crypto,加密,QQQ,-1.839264,8.33,1,0.0,-0.2208,0.0
2026-05-04,ai_tech,AI / 大模型,QQQ,-0.10675199999999999,0.48,1,0.0,-0.2224,0.0
2026-05-05,ai_tech,AI / 大模型,QQQ,0.13847199999999998,0.58,2,0.0,0.23874482758620688,0.0
2026-05-05,crypto,加密,WLFI,7.915,15.83,1,0.0,0.5,0.0
2026-05-06,ai_tech,AI / 大模型,QQQ,0.009569999999999999,0.6,2,0.0,0.01595,0.0
2026-05-06,crypto,加密,BTC-USD,0.9213060000000001,15.83,1,0.0,0.0582,0.0
2026-05-07,ai_tech,AI / 大模型,QQQ,0.248462,1.64,5,0.0,0.1515012195121951,0.0
2026-05-08,ai_tech,AI / 大模型,QQQ,0.03549,0.4,4,0.0,0.088725,0.0
2026-05-08,crypto,加密,BTC-USD,-0.7861650000000001,24.16,2,0.0,-0.032539942052980136,0.0
2026-05-08,crypto,加密,CTUSD,-3.914759,15.83,1,0.0,-0.2473,0.0
2026-05-08,crypto,加密,QQQ,-3.954334,15.83,1,0.0,-0.2498,0.0
2026-05-09,ai_tech,AI / 大模型,FUN,0.09,0.36,1,0.0,0.25,0.0
2026-05-09,ai_tech,AI / 大模型,QQQ,0.06062499999999999,1.8099999999999998,4,0.0,0.033494475138121545,0.0
2026-05-09,crypto,加密,BTC-USD,0.449572,15.83,1,0.0,0.0284,0.0
2026-05-10,ai_tech,AI / 大模型,BTC-USD,0.08985599999999999,0.36,1,0.0,0.2496,0.0
