signal,agg,signal_col,description,ret_col,lag_days,n_days,ic,ls_spread,cum_sign_ret,industry_filter,max_rank
sig_kol_breadth_contrarian,sum,sig_kol_breadth_contrarian_sum,参与 KOL 数 × 情绪反转,ind_ret_1d,1,84,0.2551,0.007593,0.1648,all,all
sig_bear_crowd,sum,sig_bear_crowd_sum,看空帖占比 × 情绪反转（恐慌反弹）,ind_ret_1d,1,84,0.2412,0.005737,0.140872,all,all
sig_contrarian_top3,sum,sig_contrarian_top3_sum,仅Top3 KOL的反转信号（日频 sum）,ind_ret_1d,1,84,0.2403,0.003583,0.025356,all,all
sig_contrarian_views,sum,sig_contrarian_views_sum,反转 × log(views),ind_ret_1d,1,84,0.223,0.009225,0.07659,all,all
sig_contrarian_views,wmean,sig_contrarian_views_wmean,反转 × log(views),ind_ret_1d,1,84,0.2113,0.00532,0.075156,all,all
sig_dispersion_contrarian,sum,sig_dispersion_contrarian_sum,高分歧日 × 情绪反转,ind_ret_1d,1,84,0.2075,0.008212,0.16307,all,all
sig_contrarian_orig,sum,sig_contrarian_orig_sum,仅原创帖（非 RT）反转,ind_ret_1d,1,84,0.1946,0.00537,0.075156,all,all
sig_bull_fade,sum,sig_bull_fade_sum,仅明显看多帖反转（拥挤做多）,ind_ret_1d,1,84,0.1942,0.005438,-0.05808,all,all
sig_contrarian_x_viral,sum,sig_contrarian_x_viral_sum,反转 × 互动惊喜度（连续加权）,ind_ret_1d,1,84,0.1925,0.007005,0.14516,all,all
sig_strong_bull_fade,sum,sig_strong_bull_fade_sum,强看多 (s>0.2) 反转,ind_ret_1d,1,84,0.1907,0.004794,-0.040588,all,all
sig_contrarian,sum,sig_contrarian_sum,−Sentiment × Influence（反转）,ind_ret_1d,1,84,0.189,0.006513,0.15151,all,all
sig_rank1_momentum,wmean,sig_rank1_momentum_wmean,仅行业 #1 KOL 跟随,ind_ret_1d,1,84,0.1875,0.000782,0.069746,all,all
sig_imbalance_contrarian,sum,sig_imbalance_contrarian_sum,情绪方向 × 影响力反转,ind_ret_1d,1,84,0.1852,0.005796,-0.108816,all,all
sig_extreme_contrarian,sum,sig_extreme_contrarian_sum,仅极端情绪帖（|s|≥0.2）反转,ind_ret_1d,1,84,0.185,0.004426,0.136157,all,all
sig_bear_crowd_strict,sum,sig_bear_crowd_strict_sum,严格恐慌：bear_ratio>0.5 才 bear_crowd,ind_ret_1d,1,84,0.183,0.001708,0.133553,all,all
sig_consensus_contrarian,sum,sig_consensus_contrarian_sum,行业共识情绪反转（|均值|×影响力）,ind_ret_1d,1,84,0.1826,0.007833,0.1648,all,all
sig_nlp_minus_lex,sum,sig_nlp_minus_lex_sum,NLP 与词典差 × 反转,ind_ret_1d,1,84,0.1786,0.006663,0.172301,all,all
sig_sentiment_delta_contra,sum,sig_sentiment_delta_contra_sum,情绪突变反转 × 影响力,ind_ret_1d,1,76,0.1722,0.004038,0.14788,all,all
sig_bull_fade,wmean,sig_bull_fade_wmean,仅明显看多帖反转（拥挤做多）,ind_ret_1d,1,84,0.1621,0.002752,-0.05808,all,all
sig_strong_bull_fade,wmean,sig_strong_bull_fade_wmean,强看多 (s>0.2) 反转,ind_ret_1d,1,84,0.1573,0.003109,-0.040588,all,all
sig_imbalance_contrarian,wmean,sig_imbalance_contrarian_wmean,情绪方向 × 影响力反转,ind_ret_1d,1,84,0.1553,0.002592,-0.108816,all,all
sig_viral_contrarian,sum,sig_viral_contrarian_sum,高互动惊喜帖才做情绪反转,ind_ret_1d,1,84,0.142,0.000698,0.02925,all,all
sig_extreme_contrarian,wmean,sig_extreme_contrarian_wmean,仅极端情绪帖（|s|≥0.2）反转,ind_ret_1d,1,84,0.1408,0.005402,0.121722,all,all
