signal,agg,signal_col,description,ret_col,lag_days,n_days,ic,ls_spread,cum_sign_ret,industry,industry_label,max_rank
sig_unanimity_contrarian,sum,sig_unanimity_contrarian_sum,低分歧时加强反转（一致预期）,ind_ret_1d,1,38,0.4388,0.008261,0.072593,ai_tech,AI / 大模型,all
sig_post_burst_contrarian,sum,sig_post_burst_contrarian_sum,发帖密集日 × 情绪反转,ind_ret_1d,1,38,0.411,0.007628,0.072593,ai_tech,AI / 大模型,all
sig_bear_crowd,sum,sig_bear_crowd_sum,看空帖占比 × 情绪反转（恐慌反弹）,ind_ret_1d,1,38,0.4084,0.004133,0.051341,ai_tech,AI / 大模型,all
sig_contrarian_views,sum,sig_contrarian_views_sum,反转 × log(views),ind_ret_1d,1,38,0.3978,0.005601,0.016563,ai_tech,AI / 大模型,all
sig_dispersion_contrarian,sum,sig_dispersion_contrarian_sum,高分歧日 × 情绪反转,ind_ret_1d,1,38,0.3977,0.005391,0.016442,ai_tech,AI / 大模型,all
sig_kol_breadth_contrarian,sum,sig_kol_breadth_contrarian_sum,参与 KOL 数 × 情绪反转,ind_ret_1d,1,38,0.3962,0.009439,0.072593,ai_tech,AI / 大模型,all
sig_contrarian_x_viral,sum,sig_contrarian_x_viral_sum,反转 × 互动惊喜度（连续加权）,ind_ret_1d,1,38,0.3923,0.007527,0.069933,ai_tech,AI / 大模型,all
sig_consensus_contrarian,sum,sig_consensus_contrarian_sum,行业共识情绪反转（|均值|×影响力）,ind_ret_1d,1,38,0.3794,0.009546,0.072593,ai_tech,AI / 大模型,all
sig_bull_fade,sum,sig_bull_fade_sum,仅明显看多帖反转（拥挤做多）,ind_ret_1d,1,38,0.3754,0.005648,-0.062678,ai_tech,AI / 大模型,all
sig_strong_bull_fade,sum,sig_strong_bull_fade_sum,强看多 (s>0.2) 反转,ind_ret_1d,1,38,0.372,0.005648,-0.070321,ai_tech,AI / 大模型,all
sig_nlp_minus_lex,sum,sig_nlp_minus_lex_sum,NLP 与词典差 × 反转,ind_ret_1d,1,38,0.3599,0.007337,0.076282,ai_tech,AI / 大模型,all
sig_contrarian,sum,sig_contrarian_sum,−Sentiment × Influence（反转）,ind_ret_1d,1,38,0.3408,0.008959,0.076282,ai_tech,AI / 大模型,all
sig_contrarian_orig,sum,sig_contrarian_orig_sum,仅原创帖（非 RT）反转,ind_ret_1d,1,38,0.3404,0.009256,0.062283,ai_tech,AI / 大模型,all
sig_imbalance_contrarian,sum,sig_imbalance_contrarian_sum,情绪方向 × 影响力反转,ind_ret_1d,1,38,0.3364,0.000842,-0.094425,ai_tech,AI / 大模型,all
sig_extreme_contrarian,sum,sig_extreme_contrarian_sum,仅极端情绪帖（|s|≥0.2）反转,ind_ret_1d,1,38,0.3337,0.006667,0.044432,ai_tech,AI / 大模型,all
sig_viral_contrarian,sum,sig_viral_contrarian_sum,高互动惊喜帖才做情绪反转,ind_ret_1d,1,38,0.3271,0.003438,0.047943,ai_tech,AI / 大模型,all
sig_contrarian_top3,sum,sig_contrarian_top3_sum,仅Top3 KOL的反转信号（日频 sum）,ind_ret_1d,1,38,0.3071,0.00184,0.048778,ai_tech,AI / 大模型,all
sig_contrarian_x_viral,wmean,sig_contrarian_x_viral_wmean,反转 × 互动惊喜度（连续加权）,ind_ret_1d,1,38,0.2857,0.006852,0.09442,ai_tech,AI / 大模型,all
sig_sentiment_delta_contra,sum,sig_sentiment_delta_contra_sum,情绪突变反转 × 影响力,ind_ret_1d,1,36,0.2828,0.007562,0.145402,ai_tech,AI / 大模型,all
sig_contrarian_views,wmean,sig_contrarian_views_wmean,反转 × log(views),ind_ret_1d,1,38,0.2626,0.007666,0.062283,ai_tech,AI / 大模型,all
sig_bull_fade,wmean,sig_bull_fade_wmean,仅明显看多帖反转（拥挤做多）,ind_ret_1d,1,38,0.2488,0.004694,-0.062678,ai_tech,AI / 大模型,all
sig_strong_bull_fade,wmean,sig_strong_bull_fade_wmean,强看多 (s>0.2) 反转,ind_ret_1d,1,38,0.2411,0.003634,-0.070321,ai_tech,AI / 大模型,all
sig_contrarian_top3,wmean,sig_contrarian_top3_wmean,仅Top3 KOL的反转信号（日频 sum）,ind_ret_1d,1,38,0.2407,0.00184,0.048778,ai_tech,AI / 大模型,all
sig_contrarian_orig,wmean,sig_contrarian_orig_wmean,仅原创帖（非 RT）反转,ind_ret_1d,1,38,0.2321,0.006812,0.072335,ai_tech,AI / 大模型,all
sig_contrarian,wmean,sig_contrarian_wmean,−Sentiment × Influence（反转）,ind_ret_1d,1,38,0.2264,0.006859,0.086335,ai_tech,AI / 大模型,all
sig_nlp_minus_lex,wmean,sig_nlp_minus_lex_wmean,NLP 与词典差 × 反转,ind_ret_1d,1,38,0.221,0.005682,0.061847,ai_tech,AI / 大模型,all
sig_extreme_contrarian,wmean,sig_extreme_contrarian_wmean,仅极端情绪帖（|s|≥0.2）反转,ind_ret_1d,1,38,0.2142,0.005055,0.029997,ai_tech,AI / 大模型,all
sig_viral_contrarian,wmean,sig_viral_contrarian_wmean,高互动惊喜帖才做情绪反转,ind_ret_1d,1,38,0.1982,0.00438,0.047943,ai_tech,AI / 大模型,all
sig_dual_confirm_contra,wmean,sig_dual_confirm_contra_wmean,看空 + 高互动双重确认反转,ind_ret_1d,1,38,0.1614,0.003548,0.081054,ai_tech,AI / 大模型,all
sig_bear_only,sum,sig_bear_only_sum,仅看空情绪 × Influence,ind_ret_1d,1,38,0.1464,-0.00394,-0.110737,ai_tech,AI / 大模型,all
sig_surprise_contrarian,wmean,sig_surprise_contrarian_wmean,相对该 KOL 历史情绪的意外 × 反转,ind_ret_1d,1,38,0.1335,0.005866,0.081678,ai_tech,AI / 大模型,all
sig_bear_crowd_strict,sum,sig_bear_crowd_strict_sum,严格恐慌：bear_ratio>0.5 才 bear_crowd,ind_ret_1d,1,38,0.1288,0.001714,0.07207,ai_tech,AI / 大模型,all
sig_rt_contrarian,sum,sig_rt_contrarian_sum,仅转发帖反转,ind_ret_1d,1,38,0.1168,0.002449,0.083247,ai_tech,AI / 大模型,all
sig_bear_x_eng,wmean,sig_bear_x_eng_wmean,看空帖 × 互动惊喜 × 反转,ind_ret_1d,1,38,0.1132,0.002805,0.089562,ai_tech,AI / 大模型,all
sig_imbalance_contrarian,wmean,sig_imbalance_contrarian_wmean,情绪方向 × 影响力反转,ind_ret_1d,1,38,0.1066,0.001272,-0.094425,ai_tech,AI / 大模型,all
sig_bear_bounce,wmean,sig_bear_bounce_wmean,仅明显看空帖反转（恐慌反弹）,ind_ret_1d,1,38,0.0944,0.003477,0.087678,ai_tech,AI / 大模型,all
sig_strong_bear_only,wmean,sig_strong_bear_only_wmean,强看空 (s<-0.2) 反转,ind_ret_1d,1,38,0.0846,0.001254,0.070568,ai_tech,AI / 大模型,all
sig_surprise_contrarian,sum,sig_surprise_contrarian_sum,相对该 KOL 历史情绪的意外 × 反转,ind_ret_1d,1,38,0.0732,0.0026,0.08938,ai_tech,AI / 大模型,all
sig_rank1_momentum,sum,sig_rank1_momentum_sum,仅行业 #1 KOL 跟随,ind_ret_1d,1,38,0.057,0.000284,0.005247,ai_tech,AI / 大模型,all
sig_rank1_contrarian,wmean,sig_rank1_contrarian_wmean,仅行业 #1 KOL 反转,ind_ret_1d,1,38,0.0124,-0.000284,-0.005247,ai_tech,AI / 大模型,all
sig_rank1_momentum,wmean,sig_rank1_momentum_wmean,仅行业 #1 KOL 跟随,ind_ret_1d,1,38,-0.0124,0.000284,0.005247,ai_tech,AI / 大模型,all
sig_rt_contrarian,wmean,sig_rt_contrarian_wmean,仅转发帖反转,ind_ret_1d,1,38,-0.0154,0.002449,0.083247,ai_tech,AI / 大模型,all
sig_dual_confirm_contra,sum,sig_dual_confirm_contra_sum,看空 + 高互动双重确认反转,ind_ret_1d,1,38,-0.0235,0.003033,0.081054,ai_tech,AI / 大模型,all
sig_rank1_contrarian,sum,sig_rank1_contrarian_sum,仅行业 #1 KOL 反转,ind_ret_1d,1,38,-0.057,-0.000284,-0.005247,ai_tech,AI / 大模型,all
sig_disagreement,sum,sig_disagreement_sum,sig_disagreement,ind_ret_1d,1,38,-0.0867,-0.003282,0.053674,ai_tech,AI / 大模型,all
sig_bear_only,wmean,sig_bear_only_wmean,仅看空情绪 × Influence,ind_ret_1d,1,38,-0.097,-0.005315,-0.110737,ai_tech,AI / 大模型,all
sig_attention_raw,wmean,sig_attention_raw_wmean,纯 Influence（无情绪）,ind_ret_1d,1,38,-0.1237,-0.003042,0.094425,ai_tech,AI / 大模型,all
sig_bear_x_eng,sum,sig_bear_x_eng_sum,看空帖 × 互动惊喜 × 反转,ind_ret_1d,1,38,-0.1385,0.002453,0.089562,ai_tech,AI / 大模型,all
sig_strong_bear_only,sum,sig_strong_bear_only_sum,强看空 (s<-0.2) 反转,ind_ret_1d,1,38,-0.1451,0.000375,0.070568,ai_tech,AI / 大模型,all
sig_bear_bounce,sum,sig_bear_bounce_sum,仅明显看空帖反转（恐慌反弹）,ind_ret_1d,1,38,-0.1463,0.003028,0.087678,ai_tech,AI / 大模型,all
sig_rank_weighted,wmean,sig_rank_weighted_wmean,Sentiment × Influence × Top排名权重,ind_ret_1d,1,38,-0.2152,-0.00653,-0.092127,ai_tech,AI / 大模型,all
sig_baseline,wmean,sig_baseline_wmean,Sentiment × Influence（原版）,ind_ret_1d,1,38,-0.2264,-0.006859,-0.086335,ai_tech,AI / 大模型,all
sig_momentum,wmean,sig_momentum_wmean,跟随情绪 × 影响力（非反转）,ind_ret_1d,1,38,-0.2264,-0.006859,-0.086335,ai_tech,AI / 大模型,all
sig_sentiment_x_likes,wmean,sig_sentiment_x_likes_wmean,Sentiment × log(1+likes),ind_ret_1d,1,38,-0.2309,-0.003829,-0.055933,ai_tech,AI / 大模型,all
sig_original_post,wmean,sig_original_post_wmean,非转发帖 × Sentiment × Influence,ind_ret_1d,1,38,-0.2321,-0.006812,-0.072335,ai_tech,AI / 大模型,all
sig_top_rank_only,wmean,sig_top_rank_only_wmean,仅行业排名前3 KOL,ind_ret_1d,1,38,-0.2407,-0.00184,-0.048778,ai_tech,AI / 大模型,all
sig_bull_only,wmean,sig_bull_only_wmean,仅看多情绪 × Influence,ind_ret_1d,1,38,-0.2497,-0.003556,0.044827,ai_tech,AI / 大模型,all
sig_views_weighted,wmean,sig_views_weighted_wmean,情绪 × log(views),ind_ret_1d,1,38,-0.2626,-0.007666,-0.062283,ai_tech,AI / 大模型,all
