nickname,username,profile_url,views_seed,latest_tweet_snippet,industry,industry_label,rank_in_industry,influence_score,is_top_k
小熊貓@AIart,max80072,https://x.com/max80072,3340000,#HonkaiStarRail #崩坏星穹铁道 #AIイラスト #AIArt #緋英 #Evanescia,ai_tech,AI / 大模型,1,100.0,True
钱宝,facai988,https://x.com/facai988,1010000,金融人必看：十大顶级投资大师 1. 约翰·邓普顿 - 称号：“全球投资之父” - 特点：逆向价值投资者，二战期间抄底欧美股市，年化收益14.5% 2. 本杰明·格雷厄姆 - 称号：“证券分析之父” -,ai_tech,AI / 大模型,2,30.24,True
李岳,liyue_ai,https://x.com/liyue_ai,240000,我们在焦虑什么？ 你不努力其实也不会饿死 努力了也不一定有好结果 所以到底是什么让我们如此焦虑？ 是未来的不确定性？ 还是不甘于平凡？,ai_tech,AI / 大模型,3,7.19,True
AI最严厉的父亲,dashen_wang,https://x.com/dashen_wang,170000,来： 无处告别 邀请您参加腾讯会议 会议主题：企业AI转型闭门训练营（每晚八点公开讨论） 会议时间：2026/05/17 20:00-21:00 (GMT+08:00) 中国标准时间 - 香港 重复周,ai_tech,AI / 大模型,4,5.09,True
小互,xiaohu,https://x.com/xiaohu,160000,OpenAI 正在偷偷做两件事 把 Codex 的「远程控制」从手机控自己电脑，往「手机控任意电脑」的方向推进... 5 月 14 日，OpenAI 给 ChatGPT 手机 App 加了个功能： 你,ai_tech,AI / 大模型,5,4.79,True
Austin,austinit,https://x.com/austinit,33000,Token 阳痿了。 如果给你无限用的 Opus 4.7 + GPT 5.5 ，你会拿来做什么？ 现在我真有来自@cursor_ai 给的接近无限的顶尖模型 Token，但我的确不知道干啥好了。算了一,ai_tools,AI 工具 / Agent,1,100.0,True
Bill The Investor,billtheinvestor,https://x.com/billtheinvestor,30000,Cursor 正在用 50 个人干出 20 亿美金营收。最反直觉的是，这家公司的产品经理（PM）数量为 0。 相比高盛、谷歌、苹果三家巨头的总和，Cursor 的人均创收效率简直是降维打击。这里的工程,ai_tools,AI 工具 / Agent,2,90.91,True
"ttty(, ) 托鱼",tuotuotuoyu,https://x.com/tuotuotuoyu,4156,$BABA ATH !!!! 阿里这波调整挺有意思的。吴泳铭亲自挂帅，搞了个和阿里云、电商平级的新事业群ATH，核心就围绕一个字：Token。 简单说，他们觉得未来是AI Agent的天下，这些“数字,ai_tools,AI 工具 / Agent,3,12.59,True
0x_Miko,Mikocrypto11,https://x.com/Mikocrypto11,420000,很多人做 Polymarket 5m / 15m up/down markets，最大的误区是： 以为价格才是游戏 其实时间才是 短周期市场惩罚的不是“观点错误” 而是： 眼睛慢 手慢 仓位慢 在 l,crypto,加密,1,100.0,True
CryptoMaid加密女仆お嬢様 .edge,maid_crypto,https://x.com/maid_crypto,120000,踏空hype 去追aster的 你都不如去挖点standx 我还能高看你一眼,crypto,加密,2,28.57,True
比特币总裁,chairbtc,https://x.com/chairbtc,86000,哈哈哈，这版太应景了，难怪马斯克一脸幸福的样子,crypto,加密,3,20.48,True
victor-wu.eth,victor_wu,https://x.com/victor_wu,52000,帮转帮转,crypto,加密,4,12.38,True
先知,Crypto_He,https://x.com/Crypto_He,52000,有一说一雷军和马斯克这张合影还是很有质感的,crypto,加密,5,12.38,True
墓碑科技,mubeitech,https://x.com/mubeitech,65000,“他们偷走了我们的芯片产业。” 川普这句话，直接把媒体的桌子掀了。 外界都在刷屏台湾被出卖了。 剥开情绪词，看他底层这笔经济账是怎么算的。 台湾半导体的崛起，在他眼里是美国历代总统无能的代价。 如果当,semiconductor,半导体,1,100.0,True
sitin,sitinme,https://x.com/sitinme,11000,有一个挺有意思的开源项目，叫 Cider，专门给 Apple Silicon 芯片的 Mac 做本地 AI 推理加速。 很多人买了 Mac mini、MacBook Pro ，想在本地跑模型，但总会出,semiconductor,半导体,2,16.92,True
Iggie,Kenntnis22,https://x.com/Kenntnis22,1070000,狼王献祭自己来拯救族群🥹看哭了,unclassified,未分类,1,100.0,True
杀破狼 WolfyXBT,wolfyxbt,https://x.com/wolfyxbt,470000,嗨 @nikitabier @elonmusk 有大量账号在 X 的中文区策划一场恐怖行动，希望你们严肃以待，他们都在大批量地刷「打飞机」的评论，不知道是要袭击哪一架飞机，据我所知已经有上千个 X 账,unclassified,未分类,2,43.93,True
Mr Panda,PandaTalk8,https://x.com/PandaTalk8,160000,大多数程序员高薪都是假象， 看看加班时长， 按时薪计算也不高。 大厂的确高薪， 大厂尤其互联网大厂， 互联网软件行业特点是边际成本可以无限趋近零， 只要养几千名程序员就可以服务过亿的用户。,unclassified,未分类,3,14.95,True
Nice奈斯,Nicebabycat,https://x.com/Nicebabycat,140000,为什么问有没有好赌的爸爸，生病的妈妈，上学的弟弟，家暴的老公？,unclassified,未分类,4,13.08,True
苏打白.Dev,sodawhite_dev,https://x.com/sodawhite_dev,100000,太强了！今年夏天多了项乐趣！,unclassified,未分类,5,9.35,True
